group,total,wins,losses,holds,win_rate,avg_profit,avg_loss,profit_factor,expectancy,max_drawdown,final_equity,cumulative_return
全体,4880,932,2573,1375,26.59058487874465,4.843430688753269,-3.323050913330742,1.2994803636401915,0.524717213114754,-41.52133117112658,8.481968797120336,748.1968797120336
フェーズ_BACKTEST,3896,730,2010,1156,26.642335766423358,4.748328884143086,-3.25744776119403,1.3583292477857858,0.6021945585215605,-41.52133117112658,7.216045845077397,621.6045845077397
フェーズ_OOS,984,202,563,219,26.405228758169937,5.266532066508313,-3.557264653641208,1.1070882890440097,0.21795731707317076,-18.894282052004474,1.1754316670405471,17.543166704054713
相場局面_上昇,2600,536,1289,775,29.369863013698634,4.856084291187739,-3.196167571761055,1.5382051817294762,0.8528192307692307,-27.152228718014427,6.676271153828456,567.6271153828455
相場局面_下落,319,36,203,80,15.062761506276152,4.437079646017699,-3.4999014778325126,0.7057060015763991,-0.6554545454545454,-37.162919329244836,0.8139935017137921,-18.600649828620785
相場局面_レンジ,473,49,269,155,15.40880503144654,3.756237623762376,-3.1406691449814126,0.898110884901283,-0.18198731501057086,-20.19595108395307,0.9188788805417493,-8.112111945825074
相場局面_急落・高ボラ,1488,311,812,365,27.693677649154054,5.212893175074185,-3.5406773399014777,1.2220707262185093,0.42907258064516124,-13.426586596436241,1.6985701814997467,69.85701814997466
ランク1,429,106,237,86,30.903790087463555,5.683089005235601,-3.681054852320675,1.244220034158251,0.4966433566433566,-67.8787583229007,4.896308180950925,389.6308180950925
買い推奨,1756,364,961,431,27.471698113207548,5.127522123893805,-3.485338189386056,1.2109207293224777,0.4023120728929385,-43.1626286638635,7.739313580761453,673.9313580761453
